millis,stamp,datetime,temp
999, 1497825202, 2017/6/18 22:33:22, 19.00
1999, 1497825203, 2017/6/18 22:33:23, 19.00
2999, 1497825204, 2017/6/18 22:33:24, 19.00
3999, 1497825205, 2017/6/18 22:33:25, 19.00
4999, 1497825206, 2017/6/18 22:33:26, 19.00
5999, 1497825207, 2017/6/18 22:33:27, 19.00
6999, 1497825208, 2017/6/18 22:33:28, 19.00
8000, 1497825209, 2017/6/18 22:33:29, 19.00
8999, 1497825210, 2017/6/18 22:33:30, 19.00
9999, 1497825211, 2017/6/18 22:33:31, 19.00
10998, 1497825212, 2017/6/18 22:33:32, 19.00
11999, 1497825213, 2017/6/18 22:33:33, 19.00
12999, 1497825214, 2017/6/18 22:33:34, 19.00
14000, 1497825215, 2017/6/18 22:33:35, 19.00
14999, 1497825216, 2017/6/18 22:33:36, 19.00
16000, 1497825217, 2017/6/18 22:33:37, 19.00
16999, 1497825218, 2017/6/18 22:33:38, 19.00
17999, 1497825219, 2017/6/18 22:33:39, 19.00
19000, 1497825220, 2017/6/18 22:33:40, 19.00
19999, 1497825221, 2017/6/18 22:33:41, 19.00
20999, 1497825222, 2017/6/18 22:33:42, 19.00
21999, 1497825223, 2017/6/18 22:33:43, 19.00
23000, 1497825224, 2017/6/18 22:33:44, 19.00
23999, 1497825225, 2017/6/18 22:33:45, 19.00
24998, 1497825226, 2017/6/18 22:33:46, 19.00
25999, 1497825227, 2017/6/18 22:33:47, 19.00
26999, 1497825228, 2017/6/18 22:33:48, 19.00
27999, 1497825229, 2017/6/18 22:33:49, 19.00
28999, 1497825230, 2017/6/18 22:33:50, 19.00
29999, 1497825231, 2017/6/18 22:33:51, 19.00
30999, 1497825232, 2017/6/18 22:33:52, 19.00
32000, 1497825233, 2017/6/18 22:33:53, 19.00
32999, 1497825234, 2017/6/18 22:33:54, 19.00
33999, 1497825235, 2017/6/18 22:33:55, 19.00
35000, 1497825236, 2017/6/18 22:33:56, 19.00
35999, 1497825237, 2017/6/18 22:33:57, 19.00
36999, 1497825238, 2017/6/18 22:33:58, 19.00
37999, 1497825239, 2017/6/18 22:33:59, 19.00
38999, 1497825240, 2017/6/18 22:34:0, 19.00
39999, 1497825241, 2017/6/18 22:34:1, 19.00
41000, 1497825242, 2017/6/18 22:34:2, 19.00
42000, 1497825243, 2017/6/18 22:34:3, 19.00
42999, 1497825244, 2017/6/18 22:34:4, 19.00
43999, 1497825245, 2017/6/18 22:34:5, 19.00
44999, 1497825246, 2017/6/18 22:34:6, 19.00
46000, 1497825247, 2017/6/18 22:34:7, 19.00
46999, 1497825248, 2017/6/18 22:34:8, 19.00
48000, 1497825249, 2017/6/18 22:34:9, 18.90
49000, 1497825250, 2017/6/18 22:34:10, 18.90
49998, 1497825251, 2017/6/18 22:34:11, 19.00
